address_id,zone_type,address
1,premium,"González 8, Guadalupe Mainero, 87100 Cdad. Victoria, Tamps., México"
2,premium,"Cdad. Mante 117, Enrique Cárdenas González, 87010 Cdad. Victoria, Tamps., México"
3,premium,"Cuauhtémoc 934, Azteca, 87086 Cdad. Victoria, Tamps., México"
4,premium,"87089 De, Av. de los Pajaritos, 87089 Cdad. Victoria, Tamps., México"
5,premium,"Río Santa Engracia & Arroyo Carrizal, Amp Luis Echeverría Álvarez, 87060 Cdad. Victoria, Tamps., México"
6,premium,"Rio Conchos 1106, Amp Luis Echeverría Álvarez, 87060 Cdad. Victoria, Tamps., México"
7,premium,"Cerró Azul, Rio Corona, 87060 Cdad. Victoria, Tamps., México"
8,premium,"Cerro Azul 1825, Bethel, 87076 Cdad. Victoria, Tamps., México"
9,premium,"Francisco Ramos 126, Simón Torres de la Garza, 87076 Cdad. Victoria, Tamps., México"
10,premium,"Claridad Manzana 1 Lote 22, La Esperanza, 87076 Cdad. Victoria, Tamps., México"
